Category	Term	Count	Percentage	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0051301~cell division	35	9.8314606741573	1.80603003911937E-18	ENSG00000149273, ENSG00000104147, ENSG00000118193, ENSG00000110200, ENSG00000165480, ENSG00000075131, ENSG00000170312, ENSG00000198901, ENSG00000173207, ENSG00000157456, ENSG00000178999, ENSG00000117399, ENSG00000117650, ENSG00000122952, ENSG00000134690, ENSG00000154839, ENSG00000142945, ENSG00000175470, ENSG00000156970, ENSG00000146670, ENSG00000066279, ENSG00000237649, ENSG00000111665, ENSG00000132341, ENSG00000117724, ENSG00000137812, ENSG00000162063, ENSG00000143228, ENSG00000166483, ENSG00000138160, ENSG00000121957, ENSG00000119638, ENSG00000101447, ENSG00000121152, ENSG00000129810	259	385	19357	6.7943137943138	2.68376063813138E-15	2.68195460809226E-15	2.65125209742723E-15
REACTOME_PATHWAY	R-HSA-1640170~Cell Cycle	44	12.3595505617978	6.86454163387495E-13	ENSG00000075218, ENSG00000174371, ENSG00000137807, ENSG00000104147, ENSG00000123080, ENSG00000246705, ENSG00000131747, ENSG00000110200, ENSG00000175203, ENSG00000170312, ENSG00000177700, ENSG00000173207, ENSG00000157456, ENSG00000178999, ENSG00000080824, ENSG00000117399, ENSG00000117650, ENSG00000166851, ENSG00000122952, ENSG00000134690, ENSG00000188486, ENSG00000154839, ENSG00000142945, ENSG00000149554, ENSG00000175470, ENSG00000135679, ENSG00000156970, ENSG00000146670, ENSG00000111206, ENSG00000132341, ENSG00000111445, ENSG00000117724, ENSG00000137812, ENSG00000065328, ENSG00000051180, ENSG00000140451, ENSG00000198707, ENSG00000143228, ENSG00000166483, ENSG00000119638, ENSG00000092853, ENSG00000121152, ENSG00000184678, ENSG00000129810	201	692	10946	3.46262905127541	5.94466476044886E-10	5.95155759656958E-10	5.44358151566284E-10
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	19	5.33707865168539	1.00182291363704E-10	ENSG00000149273, ENSG00000137818, ENSG00000149792, ENSG00000142937, ENSG00000110700, ENSG00000198015, ENSG00000138326, ENSG00000174444, ENSG00000177600, ENSG00000260342, ENSG00000102738, ENSG00000116251, ENSG00000185088, ENSG00000089009, ENSG00000122406, ENSG00000140988, ENSG00000089157, ENSG00000182774, ENSG00000142676	255	190	18913	7.41686274509804	4.68853185164875E-08	4.68853123582137E-08	4.61840363186678E-08
REACTOME_PATHWAY	R-HSA-69278~Cell Cycle, Mitotic	36	10.1123595505618	1.22655554943945E-10	ENSG00000075218, ENSG00000137807, ENSG00000123080, ENSG00000246705, ENSG00000131747, ENSG00000110200, ENSG00000175203, ENSG00000170312, ENSG00000173207, ENSG00000157456, ENSG00000178999, ENSG00000080824, ENSG00000117399, ENSG00000117650, ENSG00000166851, ENSG00000122952, ENSG00000134690, ENSG00000188486, ENSG00000154839, ENSG00000142945, ENSG00000175470, ENSG00000156970, ENSG00000146670, ENSG00000111206, ENSG00000132341, ENSG00000111445, ENSG00000117724, ENSG00000137812, ENSG00000065328, ENSG00000198707, ENSG00000143228, ENSG00000166483, ENSG00000119638, ENSG00000121152, ENSG00000184678, ENSG00000129810	201	561	10946	3.49461249900231	1.06219702700194E-07	3.77610018965073E-08	3.45380328765055E-08
REACTOME_PATHWAY	R-HSA-156842~Eukaryotic Translation Elongation	16	4.49438202247191	1.30660906216288E-10	ENSG00000149273, ENSG00000137818, ENSG00000142937, ENSG00000110700, ENSG00000138326, ENSG00000174444, ENSG00000177600, ENSG00000116251, ENSG00000185088, ENSG00000089009, ENSG00000122406, ENSG00000140988, ENSG00000089157, ENSG00000182774, ENSG00000142676, ENSG00000254772	201	94	10946	9.26939769238912	1.13152355929458E-07	3.77610018965073E-08	3.45380328765055E-08
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	14	3.93258426966292	2.04546776102335E-10	ENSG00000149273, ENSG00000137818, ENSG00000142937, ENSG00000110700, ENSG00000138326, ENSG00000174444, ENSG00000177600, ENSG00000116251, ENSG00000089009, ENSG00000122406, ENSG00000140988, ENSG00000089157, ENSG00000182774, ENSG00000142676	259	90	19357	11.6258258258258	3.03956534164485E-07	1.01298566040949E-07	1.00138919156979E-07
GOTERM_BP_DIRECT	GO:0007052~mitotic spindle organization	12	3.37078651685393	2.04643567759493E-10	ENSG00000166851, ENSG00000143228, ENSG00000134690, ENSG00000138160, ENSG00000121957, ENSG00000126787, ENSG00000175203, ENSG00000132341, ENSG00000226650, ENSG00000123473, ENSG00000117632, ENSG00000178999	259	57	19357	15.7342003657793	3.04100230996696E-07	1.01298566040949E-07	1.00138919156979E-07
GOTERM_CC_DIRECT	GO:0022626~cytosolic ribosome	13	3.65168539325843	2.51703807240593E-10	ENSG00000149273, ENSG00000137818, ENSG00000142937, ENSG00000110700, ENSG00000138326, ENSG00000174444, ENSG00000116251, ENSG00000089009, ENSG00000122406, ENSG00000140988, ENSG00000089157, ENSG00000182774, ENSG00000142676	267	76	20587	13.1889907352651	9.13684640169166E-08	9.13684820283354E-08	8.40690716183582E-08
REACTOME_PATHWAY	R-HSA-72689~Formation of a pool of free 40S subunits	16	4.49438202247191	4.31383338298386E-10	ENSG00000149273, ENSG00000137818, ENSG00000142937, ENSG00000110700, ENSG00000138326, ENSG00000174444, ENSG00000177600, ENSG00000084623, ENSG00000116251, ENSG00000185088, ENSG00000089009, ENSG00000122406, ENSG00000140988, ENSG00000089157, ENSG00000182774, ENSG00000142676	201	102	10946	8.54238610867233	3.73577931700453E-07	7.12564092285052E-08	6.51745473105013E-08
REACTOME_PATHWAY	R-HSA-9633012~Response of EIF2AK4 (GCN2) to amino acid deficiency	16	4.49438202247191	4.31383338298386E-10	ENSG00000149273, ENSG00000175197, ENSG00000137818, ENSG00000142937, ENSG00000110700, ENSG00000138326, ENSG00000174444, ENSG00000177600, ENSG00000116251, ENSG00000185088, ENSG00000089009, ENSG00000122406, ENSG00000140988, ENSG00000089157, ENSG00000182774, ENSG00000142676	201	102	10946	8.54238610867233	3.73577931700453E-07	7.12564092285052E-08	6.51745473105013E-08
