"Annotation (pathway/process)"	"XD-score"	"Fisher q-value"	"Gene set size"	"Pathway size"	"Overlap size"
"hsa03010:Ribosome"	1.23097321386717	6.26672612794919e-08	239	87	14
"hsa04610:Complement and coagulation cascades"	0.78355157584897	0.0228891727913142	239	69	7
"hsa01040:Biosynthesis of unsaturated fatty acids"	0.727650954730958	1	239	21	2
"hsa04115:p53 signaling pathway"	0.676478246841832	0.0632855724288796	239	67	6
"hsa03430:Mismatch repair"	0.653116793240274	1	239	23	2
"hsa05020:Prion diseases"	0.641936669016672	0.828580843812663	239	35	3
"hsa05322:Systemic lupus erythematosus"	0.562815789895793	0.0632855724288796	239	91	7
"hsa03440:Homologous recombination"	0.513365240445243	1	239	28	2
"hsa04110:Cell cycle"	0.46067203201433	0.0632855724288796	239	122	8
"hsa00630:Glyoxylate and dicarboxylate metabolism"	0.433008097588101	1	239	16	1
"hsa00640:Propanoate metabolism"	0.433008097588101	1	239	32	2
"hsa00360:Phenylalanine metabolism"	0.433008097588101	1	239	16	1
"hsa00770:Pantothenate and CoA biosynthesis"	0.433008097588101	1	239	16	1
"hsa00670:One carbon pool by folate"	0.399919862293983	1	239	17	1
"hsa00970:Aminoacyl-tRNA biosynthesis"	0.344192308114416	1	239	38	2
"hsa00910:Nitrogen metabolism"	0.299079526159529	1	239	21	1
"hsa03420:Nucleotide excision repair"	0.289112748750891	1	239	43	2
"hsa00280:Valine, leucine and isoleucine degradation"	0.279599006679010	1	239	44	2
"hsa00410:beta-Alanine metabolism"	0.279599006679010	1	239	22	1
"hsa03060:Protein export"	0.261812445414187	1	239	23	1
"hsa00510:N-Glycan biosynthesis"	0.253486820992356	1	239	47	2
"hsa04330:Notch signaling pathway"	0.253486820992356	1	239	47	2
"hsa05140:Leishmaniasis"	0.245508097588101	1	239	72	3
"hsa05142:Chagas disease"	0.220022660694897	1	239	103	4
"hsa04114:Oocyte meiosis"	0.206956695718942	1	239	107	4
"hsa04914:Progesterone-mediated oocyte maturation"	0.191936669016672	1	239	84	3
"hsa03020:RNA polymerase"	0.191936669016672	1	239	28	1
"hsa00340:Histidine metabolism"	0.191936669016672	1	239	28	1
"hsa04640:Hematopoietic cell lineage"	0.180852925174307	1	239	87	3
"hsa00650:Butanoate metabolism"	0.170508097588101	1	239	30	1
"hsa00260:Glycine, serine and threonine metabolism"	0.160830678233262	1	239	31	1
"hsa04141:Protein processing in endoplasmic reticulum"	0.157132301409757	1	239	157	5
"hsa04612:Antigen processing and presentation"	0.143235370315373	1	239	66	2
"hsa03410:Base excision repair"	0.143235370315373	1	239	33	1
"hsa04120:Ubiquitin mediated proteolysis"	0.141184789317424	1	239	133	4
"hsa00270:Cysteine and methionine metabolism"	0.135213979941042	1	239	34	1
"hsa03030:DNA replication"	0.120508097588100	1	239	36	1
"hsa05412:Arrhythmogenic right ventricular cardiomyopathy (ARVC)"	0.117083440053854	1	239	73	2
"hsa04070:Phosphatidylinositol signaling system"	0.110508097588101	1	239	75	2
"hsa03040:Spliceosome"	0.101277328357331	1	239	117	3
"hsa00380:Tryptophan metabolism"	0.101277328357331	1	239	39	1
"hsa05219:Bladder cancer"	0.0955080975881005	1	239	40	1
"hsa00620:Pyruvate metabolism"	0.0955080975881005	1	239	40	1
"hsa05410:Hypertrophic cardiomyopathy (HCM)"	0.0900202927100517	1	239	82	2
"hsa00071:Fatty acid metabolism"	0.0900202927100517	1	239	41	1
"hsa04512:ECM-receptor interaction"	0.0873755674676186	1	239	83	2
"hsa04810:Regulation of actin cytoskeleton"	0.0868542514342543	1	239	208	5
"hsa00860:Porphyrin and chlorophyll metabolism"	0.0847938118738148	1	239	42	1
"hsa05016:Huntington's disease"	0.0786005831372334	1	239	173	4
"hsa04650:Natural killer cell mediated cytotoxicity"	0.0782004052804082	1	239	130	3
"hsa05215:Prostate cancer"	0.0774046493122384	1	239	87	2
"hsa04962:Vasopressin-regulated water reabsorption"	0.0750535521335551	1	239	44	1
"hsa05414:Dilated cardiomyopathy"	0.0727552885993365	1	239	89	2
"hsa00310:Lysine degradation"	0.066160271501144	1	239	46	1
"hsa00561:Glycerolipid metabolism"	0.066160271501144	1	239	46	1
"hsa00240:Pyrimidine metabolism"	0.0619974592902282	1	239	94	2
"hsa05144:Malaria"	0.0580080975881004	1	239	48	1
"hsa04672:Intestinal immune network for IgA production"	0.0541815669758555	1	239	49	1
"hsa04150:mTOR signaling pathway"	0.0469786858233945	1	239	51	1
"hsa00330:Arginine and proline metabolism"	0.0435850206650235	1	239	52	1
"hsa00140:Steroid hormone biosynthesis"	0.0371747642547672	1	239	54	1
"hsa03018:RNA degradation"	0.0312223833023861	1	239	56	1
"hsa00562:Inositol phosphate metabolism"	0.0312223833023861	1	239	56	1
"hsa04142:Lysosome"	0.0205080975881005	1	239	120	2
"hsa04621:NOD-like receptor signaling pathway"	0.0205080975881005	1	239	60	1
"hsa05012:Parkinson's disease"	0.0156693879106812	1	239	124	2
"hsa00010:Glycolysis / Gluconeogenesis"	0.0156693879106812	1	239	62	1
"hsa00190:Oxidative phosphorylation"	0.0145080975881006	1	239	125	2
"hsa05214:Glioma"	0.0133652404452433	1	239	63	1
"hsa04010:MAPK signaling pathway"	0.00739022686566695	1	239	263	4
"hsa01100:Metabolic pathways"	0.00347208650776807	1	239	1083	16
"hsa05218:Melanoma"	0.00286103876457109	1	239	68	1
"hsa00982:Drug metabolism - cytochrome P450"	0.00286103876457109	1	239	68	1
"hsa03320:PPAR signaling pathway"	0.00094288019679626	1	239	69	1
"hsa05212:Pancreatic cancer"	-0.000920473840470808	1	239	70	1
"hsa05220:Chronic myeloid leukemia"	-0.00273133903161773	1	239	71	1
"hsa04145:Phagosome"	-0.00449190241189948	1	239	144	2
"hsa04662:B cell receptor signaling pathway"	-0.00787028079027792	1	239	74	1
"hsa00564:Glycerophospholipid metabolism"	-0.00787028079027792	1	239	74	1
