"Annotation (pathway/process)"	"XD-score"	"Fisher q-value"	"Gene set size"	"Pathway size"	"Overlap size"
"hsa00120:Primary bile acid biosynthesis"	0.924207673060884	0.688517040233377	255	16	2
"hsa00030:Pentose phosphate pathway"	0.837669211522422	0.366007130539418	255	26	3
"hsa05140:Leishmaniasis"	0.674207673060884	0.0517567587799012	255	72	7
"hsa05322:Systemic lupus erythematosus"	0.590416464269675	0.0517567587799012	255	91	8
"hsa05144:Malaria"	0.549207673060884	0.366007130539418	255	48	4
"hsa03010:Ribosome"	0.523345604095367	0.106843189389027	255	87	7
"hsa04960:Aldosterone-regulated sodium reabsorption"	0.491515365368576	0.688517040233377	255	39	3
"hsa04610:Complement and coagulation cascades"	0.451381586104362	0.366007130539418	255	69	5
"hsa04666:Fc gamma R-mediated phagocytosis"	0.392614266467477	0.365683745897103	255	91	6
"hsa05210:Colorectal cancer"	0.379852834351207	0.679812511747114	255	62	4
"hsa04145:Phagosome"	0.361707673060884	0.106843189389027	255	144	9
"hsa00565:Ether lipid metabolism"	0.361707673060884	1	255	32	2
"hsa00511:Other glycan degradation"	0.361707673060884	1	255	16	1
"hsa00360:Phenylalanine metabolism"	0.361707673060884	1	255	16	1
"hsa00770:Pantothenate and CoA biosynthesis"	0.361707673060884	1	255	16	1
"hsa03410:Base excision repair"	0.344662218515429	1	255	33	2
"hsa00100:Steroid biosynthesis"	0.328619437766766	1	255	17	1
"hsa00670:One carbon pool by folate"	0.328619437766766	1	255	17	1
"hsa05020:Prion diseases"	0.313493387346598	1	255	35	2
"hsa00970:Aminoacyl-tRNA biosynthesis"	0.272891883587200	1	255	38	2
"hsa04142:Lysosome"	0.249207673060884	0.679812511747114	255	120	6
"hsa01040:Biosynthesis of unsaturated fatty acids"	0.227779101632313	1	255	21	1
"hsa04964:Proximal tubule bicarbonate reclamation"	0.227779101632313	1	255	21	1
"hsa00480:Glutathione metabolism"	0.208298582151793	1	255	44	2
"hsa00410:beta-Alanine metabolism"	0.208298582151793	1	255	22	1
"hsa00310:Lysine degradation"	0.190512020886971	1	255	46	2
"hsa03430:Mismatch repair"	0.190512020886971	1	255	23	1
"hsa05211:Renal cell carcinoma"	0.184921958775170	1	255	70	3
"hsa04330:Notch signaling pathway"	0.182186396465139	1	255	47	2
"hsa04971:Gastric acid secretion"	0.179489363201729	1	255	71	3
"hsa04672:Intestinal immune network for IgA production"	0.166554611836394	1	255	49	2
"hsa00500:Starch and sucrose metabolism"	0.166554611836394	1	255	49	2
"hsa04662:B cell receptor signaling pathway"	0.164072537925749	1	255	74	3
"hsa04146:Peroxisome"	0.164072537925749	1	255	74	3
"hsa04722:Neurotrophin signaling pathway"	0.162110898867336	1	255	124	5
"hsa04966:Collecting duct acid secretion"	0.159207673060884	1	255	25	1
"hsa00450:Selenoamino acid metabolism"	0.159207673060884	1	255	25	1
"hsa00534:Glycosaminoglycan biosynthesis - heparan sulfate"	0.159207673060884	1	255	25	1
"hsa04150:mTOR signaling pathway"	0.152148849531472	1	255	51	2
"hsa05142:Chagas disease"	0.148722236167680	1	255	103	4
"hsa05213:Endometrial cancer"	0.145361519214730	1	255	52	2
"hsa05223:Non-small cell lung cancer"	0.145361519214730	1	255	52	2
"hsa05110:Vibrio cholerae infection"	0.145361519214730	1	255	52	2
"hsa00330:Arginine and proline metabolism"	0.145361519214730	1	255	52	2
"hsa00052:Galactose metabolism"	0.145361519214730	1	255	26	1
"hsa05010:Alzheimer's disease"	0.138830314570318	1	255	159	6
"hsa04114:Oocyte meiosis"	0.135656271191725	1	255	107	4
"hsa04970:Salivary secretion"	0.124508877880161	1	255	83	3
"hsa04914:Progesterone-mediated oocyte maturation"	0.120636244489455	1	255	84	3
"hsa05222:Small cell lung cancer"	0.120636244489455	1	255	84	3
"hsa03440:Homologous recombination"	0.120636244489455	1	255	28	1
"hsa04210:Apoptosis"	0.109552500647091	1	255	87	3
"hsa00020:Citrate cycle (TCA cycle)"	0.099207673060884	1	255	30	1
"hsa05310:Asthma"	0.0895302537060454	1	255	31	1
"hsa00260:Glycine, serine and threonine metabolism"	0.0895302537060454	1	255	31	1
"hsa00250:Alanine, aspartate and glutamate metabolism"	0.080457673060884	1	255	32	1
"hsa00640:Propanoate metabolism"	0.080457673060884	1	255	32	1
"hsa05120:Epithelial cell signaling in Helicobacter pylori infection"	0.076130749983961	1	255	65	2
"hsa05340:Primary immunodeficiency"	0.0719349457881568	1	255	33	1
"hsa04612:Antigen processing and presentation"	0.0719349457881568	1	255	66	2
"hsa04115:p53 signaling pathway"	0.0678643894787945	1	255	67	2
"hsa04620:Toll-like receptor signaling pathway"	0.0665344057341513	1	255	101	3
"hsa05146:Amoebiasis"	0.0639135554138252	1	255	102	3
"hsa00270:Cysteine and methionine metabolism"	0.0639135554138252	1	255	34	1
"hsa04720:Long-term potentiation"	0.0639135554138252	1	255	68	2
"hsa03320:PPAR signaling pathway"	0.0600772382782753	1	255	69	2
"hsa05212:Pancreatic cancer"	0.0563505302037411	1	255	70	2
"hsa04660:T cell receptor signaling pathway"	0.0492076730608840	1	255	108	3
"hsa04260:Cardiac muscle contraction"	0.0424509163041274	1	255	74	2
"hsa05330:Allograft rejection"	0.0424509163041274	1	255	37	1
"hsa00564:Glycerophospholipid metabolism"	0.0424509163041274	1	255	74	2
"hsa04270:Vascular smooth muscle contraction"	0.0402791016323126	1	255	112	3
"hsa04370:VEGF signaling pathway"	0.0392076730608842	1	255	75	2
"hsa04010:MAPK signaling pathway"	0.0387513992966254	1	255	263	7
"hsa04670:Leukocyte transendothelial migration"	0.0381457261582291	1	255	113	3
"hsa00600:Sphingolipid metabolism"	0.0299769038301147	1	255	39	1
"hsa04110:Cell cycle"	0.0205191484707201	1	255	122	3
"hsa00071:Fatty acid metabolism"	0.0187198681828353	1	255	41	1
"hsa05012:Parkinson's disease"	0.016949608544755	1	255	124	3
"hsa04810:Regulation of actin cytoskeleton"	0.0155538269070379	1	255	208	5
"hsa00190:Oxidative phosphorylation"	0.0152076730608840	1	255	125	3
"hsa00860:Porphyrin and chlorophyll metabolism"	0.0134933873465983	1	255	42	1
"hsa04540:Gap junction"	0.00850999864227929	1	255	86	2
"hsa04650:Natural killer cell mediated cytotoxicity"	0.00689998075319177	1	255	130	3
"hsa04012:ErbB signaling pathway"	0.00610422478502194	1	255	87	2
"hsa05215:Prostate cancer"	0.00610422478502194	1	255	87	2
"hsa04640:Hematopoietic cell lineage"	0.00610422478502194	1	255	87	2
"hsa00520:Amino sugar and nucleotide sugar metabolism"	0.00375312760633867	1	255	44	1
"hsa00280:Valine, leucine and isoleucine degradation"	0.00375312760633867	1	255	44	1
"hsa04962:Vasopressin-regulated water reabsorption"	0.00375312760633867	1	255	44	1
"hsa04910:Insulin signaling pathway"	0.000700210374316956	1	255	134	3
"hsa00561:Glycerolipid metabolism"	-0.00514015302607254	1	255	46	1
"hsa04930:Type II diabetes mellitus"	-0.00514015302607254	1	255	46	1
"hsa04062:Chemokine signaling pathway"	-0.00724393984234179	1	255	186	4
"hsa00510:N-Glycan biosynthesis"	-0.00930296523698828	1	255	47	1
"hsa01100:Metabolic pathways"	-0.0096565928670939	1	255	1083	23
"hsa04912:GnRH signaling pathway"	-0.0171188575513609	1	255	98	2
"hsa04742:Taste transduction"	-0.0171188575513609	1	255	49	1
"hsa04510:Focal adhesion"	-0.0180512101878469	1	255	197	4
"hsa04310:Wnt signaling pathway"	-0.0207923269391160	1	255	150	3
"hsa05014:Amyotrophic lateral sclerosis (ALS)"	-0.0243217387038219	1	255	51	1
"hsa04630:Jak-STAT signaling pathway"	-0.0254676516144406	1	255	154	3
"hsa05320:Autoimmune thyroid disease"	-0.027715403862193	1	255	52	1
"hsa00590:Arachidonic acid metabolism"	-0.027715403862193	1	255	52	1
"hsa05130:Pathogenic Escherichia coli infection"	-0.027715403862193	1	255	52	1
"hsa05200:Pathways in cancer"	-0.0330904635850787	1	255	322	6
"hsa05221:Acute myeloid leukemia"	-0.0341256602724493	1	255	54	1
"hsa00140:Steroid hormone biosynthesis"	-0.0341256602724493	1	255	54	1
"hsa04340:Hedgehog signaling pathway"	-0.0400780412248303	1	255	56	1
"hsa05016:Huntington's disease"	-0.0447229627772663	1	255	173	3
"hsa05131:Shigellosis"	-0.050792326939116	1	255	60	1
"hsa00010:Glycolysis / Gluconeogenesis"	-0.0556310366165353	1	255	62	1
"hsa05214:Glioma"	-0.0579351840819732	1	255	63	1
"hsa04514:Cell adhesion molecules (CAMs)"	-0.0633877467864443	1	255	131	2
"hsa00980:Metabolism of xenobiotics by cytochrome P450"	-0.0664639687301607	1	255	67	1
"hsa05218:Melanoma"	-0.0684393857626454	1	255	68	1
"hsa05100:Bacterial invasion of epithelial cells"	-0.0684393857626454	1	255	68	1
"hsa05416:Viral myocarditis"	-0.0722208983676873	1	255	70	1
"hsa05220:Chronic myeloid leukemia"	-0.0740317635588342	1	255	71	1
"hsa04070:Phosphatidylinositol signaling system"	-0.0807923269391159	1	255	75	1
"hsa04664:Fc epsilon RI signaling pathway"	-0.0839092100559991	1	255	77	1
"hsa04141:Protein processing in endoplasmic reticulum"	-0.0861426454104535	1	255	157	2
"hsa00230:Purine metabolism"	-0.0868682763062046	1	255	158	2
"hsa04512:ECM-receptor interaction"	-0.092358591999357	1	255	83	1
"hsa04350:TGF-beta signaling pathway"	-0.0936494697962588	1	255	84	1
"hsa05414:Dilated cardiomyopathy"	-0.099668731433498	1	255	89	1
"hsa00240:Pyrimidine metabolism"	-0.105047646088052	1	255	94	1
"hsa04144:Endocytosis"	-0.108008821784477	1	255	194	2
"hsa04916:Melanogenesis"	-0.109883236030025	1	255	99	1
"hsa03040:Spliceosome"	-0.123869250016039	1	255	117	1
"hsa04060:Cytokine-cytokine receptor interaction"	-0.131826809697737	1	255	261	2
"hsa04120:Ubiquitin mediated proteolysis"	-0.133123154006785	1	255	133	1
"hsa04080:Neuroactive ligand-receptor interaction"	-0.133877828797852	1	255	269	2
"hsa04020:Calcium signaling pathway"	-0.148769205551833	1	255	173	1
"hsa04740:Olfactory transduction"	-0.175582242905503	1	255	357	1
"hsa00983:Drug metabolism - other enzymes"	-0.200792326939116	1	255	50	0
"hsa05412:Arrhythmogenic right ventricular cardiomyopathy (ARVC)"	-0.200792326939116	1	255	73	0
"hsa04530:Tight junction"	-0.200792326939116	1	255	130	0
"hsa04920:Adipocytokine signaling pathway"	-0.200792326939116	1	255	67	0
"hsa04622:RIG-I-like receptor signaling pathway"	-0.200792326939116	1	255	71	0
"hsa03050:Proteasome"	-0.200792326939116	1	255	43	0
"hsa04940:Type I diabetes mellitus"	-0.200792326939116	1	255	42	0
"hsa05332:Graft-versus-host disease"	-0.200792326939116	1	255	40	0
"hsa00591:Linoleic acid metabolism"	-0.200792326939116	1	255	28	0
"hsa00592:alpha-Linolenic acid metabolism"	-0.200792326939116	1	255	18	0
"hsa04730:Long-term depression"	-0.200792326939116	1	255	68	0
"hsa00563:Glycosylphosphatidylinositol(GPI)-anchor biosynthesis"	-0.200792326939116	1	255	25	0
"hsa00601:Glycosphingolipid biosynthesis - lacto and neolacto series"	-0.200792326939116	1	255	25	0
"hsa02010:ABC transporters"	-0.200792326939116	1	255	43	0
"hsa00532:Glycosaminoglycan biosynthesis - chondroitin sulfate"	-0.200792326939116	1	255	22	0
"hsa03450:Non-homologous end-joining"	-0.200792326939116	1	255	13	0
"hsa00760:Nicotinate and nicotinamide metabolism"	-0.200792326939116	1	255	24	0
"hsa04360:Axon guidance"	-0.200792326939116	1	255	128	0
"hsa04520:Adherens junction"	-0.200792326939116	1	255	72	0
"hsa00533:Glycosaminoglycan biosynthesis - keratan sulfate"	-0.200792326939116	1	255	15	0
"hsa00830:Retinol metabolism"	-0.200792326939116	1	255	61	0
"hsa05219:Bladder cancer"	-0.200792326939116	1	255	40	0
"hsa03018:RNA degradation"	-0.200792326939116	1	255	56	0
"hsa03420:Nucleotide excision repair"	-0.200792326939116	1	255	43	0
"hsa04130:SNARE interactions in vesicular transport"	-0.200792326939116	1	255	35	0
"hsa05217:Basal cell carcinoma"	-0.200792326939116	1	255	55	0
"hsa04623:Cytosolic DNA-sensing pathway"	-0.200792326939116	1	255	54	0
"hsa00603:Glycosphingolipid biosynthesis - globo series"	-0.200792326939116	1	255	14	0
"hsa05216:Thyroid cancer"	-0.200792326939116	1	255	26	0
"hsa00380:Tryptophan metabolism"	-0.200792326939116	1	255	39	0
"hsa00430:Taurine and hypotaurine metabolism"	-0.200792326939116	1	255	10	0
"hsa05410:Hypertrophic cardiomyopathy (HCM)"	-0.200792326939116	1	255	82	0
"hsa00920:Sulfur metabolism"	-0.200792326939116	1	255	12	0
"hsa04621:NOD-like receptor signaling pathway"	-0.200792326939116	1	255	60	0
"hsa00562:Inositol phosphate metabolism"	-0.200792326939116	1	255	56	0
"hsa04140:Regulation of autophagy"	-0.200792326939116	1	255	33	0
"hsa03030:DNA replication"	-0.200792326939116	1	255	36	0
"hsa03020:RNA polymerase"	-0.200792326939116	1	255	28	0
"hsa03022:Basal transcription factors"	-0.200792326939116	1	255	34	0
"hsa00900:Terpenoid backbone biosynthesis"	-0.200792326939116	1	255	15	0
"hsa00040:Pentose and glucuronate interconversions"	-0.200792326939116	1	255	27	0
"hsa00053:Ascorbate and aldarate metabolism"	-0.200792326939116	1	255	25	0
"hsa00982:Drug metabolism - cytochrome P450"	-0.200792326939116	1	255	68	0
"hsa00630:Glyoxylate and dicarboxylate metabolism"	-0.200792326939116	1	255	16	0
"hsa00340:Histidine metabolism"	-0.200792326939116	1	255	28	0
"hsa00531:Glycosaminoglycan degradation"	-0.200792326939116	1	255	19	0
"hsa00620:Pyruvate metabolism"	-0.200792326939116	1	255	40	0
"hsa03060:Protein export"	-0.200792326939116	1	255	23	0
"hsa00512:O-Glycan biosynthesis"	-0.200792326939116	1	255	30	0
"hsa00910:Nitrogen metabolism"	-0.200792326939116	1	255	21	0
"hsa00350:Tyrosine metabolism"	-0.200792326939116	1	255	39	0
"hsa00650:Butanoate metabolism"	-0.200792326939116	1	255	30	0
"hsa04614:Renin-angiotensin system"	-0.200792326939116	1	255	17	0
"hsa04744:Phototransduction"	-0.200792326939116	1	255	27	0
"hsa04710:Circadian rhythm - mammal"	-0.200792326939116	1	255	22	0
"hsa04320:Dorso-ventral axis formation"	-0.200792326939116	1	255	24	0
"hsa04950:Maturity onset diabetes of the young"	-0.200792326939116	1	255	24	0
"hsa00790:Folate biosynthesis"	-0.200792326939116	1	255	11	0
"hsa00051:Fructose and mannose metabolism"	-0.200792326939116	1	255	33	0
"hsa00604:Glycosphingolipid biosynthesis - ganglio series"	-0.200792326939116	1	255	14	0
"hsa00740:Riboflavin metabolism"	-0.200792326939116	1	255	16	0
"INITIAL TRIGGERING OF COMPLEMENT"	1.19376226236385	0.732063165057644	255	13	2
"NRIF SIGNALS CELL DEATH FROM THE NUCLEUS"	1.19376226236385	0.732063165057644	255	13	2
"GLYCOGEN BREAKDOWN GLYCOGENOLYSIS"	1.09486116346275	0.790608954626771	255	14	2
"MITOTIC PROMETAPHASE"	1.09486116346275	5.7560528415061e-06	255	91	13
"SYNTHESIS OF BILE ACIDS AND BILE SALTS VIA 7ALPHA HYDROXYCHOLESTEROL"	1.00914687774846	0.847782033487848	255	15	2
"SIGNALING BY NOTCH"	0.934146877748461	0.89058116364644	255	16	2
"SYNTHESIS OF BILE ACIDS AND BILE SALTS"	0.756515298801092	1	255	19	2
"A THIRD PROTEOLYTIC CLEAVAGE RELEASES NICD"	0.709146877748461	1	255	10	1
"COMPLEMENT CASCADE"	0.709146877748461	1	255	20	2
"COPI MEDIATED TRANSPORT"	0.709146877748461	1	255	10	1
"MITOCHONDRIAL FATTY ACID BETA OXIDATION"	0.709146877748461	1	255	10	1
"SYNTHESIS OF BILE ACIDS AND BILE SALTS VIA 24 HYDROXYCHOLESTEROL"	0.709146877748461	1	255	10	1
"ACTIVATION OF THE AP1 FAMILY OF TRANSCRIPTION FACTORS"	0.709146877748461	1	255	10	1
"REGULATED PROTEOLYSIS OF P75NTR"	0.627328695930279	1	255	11	1
"VITAMIN B5 (PANTOTHENATE) METABOLISM"	0.627328695930279	1	255	11	1
"FACILITATIVE NA INDEPENDENT GLUCOSE TRANSPORTERS"	0.559146877748461	1	255	12	1
"HORMONE SENSITIVE LIPASE HSL MEDIATED TRIACYLGLYCEROL HYDROLYSIS"	0.559146877748461	1	255	12	1
"PEPTIDE CHAIN ELONGATION"	0.559146877748461	0.0994380150961318	255	84	7
"VIRAL MRNA TRANSLATION"	0.559146877748461	0.0994380150961318	255	84	7
"BILE SALT AND ORGANIC ANION SLC TRANSPORTERS"	0.559146877748461	1	255	12	1
"MITOTIC M M G1 PHASES"	0.559146877748461	0.00168830597574552	255	156	13
"TRIACYLGLYCERIDE BIOSYNTHESIS"	0.501454570056153	1	255	13	1
"BETACATENIN PHOSPHORYLATION CASCADE"	0.501454570056153	1	255	13	1
"METABOLISM OF BILE ACIDS AND BILE SALTS"	0.475813544415127	1	255	27	2
"FORMATION OF A POOL OF FREE 40S SUBUNITS"	0.472304772485303	0.17000524203563	255	95	7
"AKT PHOSPHORYLATES TARGETS IN THE CYTOSOL"	0.452004020605604	1	255	14	1
"COMMON PATHWAY"	0.452004020605604	1	255	14	1
"STEROID HORMONE BIOSYNTHESIS"	0.452004020605604	1	255	14	1
"INFLUENZA VIRAL RNA TRANSCRIPTION AND REPLICATION"	0.439146877748461	0.170733159746113	255	100	7
"REGULATION OF GENE EXPRESSION IN BETA CELLS"	0.439146877748461	0.170733159746113	255	100	7
"POST NMDA RECEPTOR ACTIVATION EVENTS"	0.429836532920874	1	255	29	2
"GLUTAMATE NEUROTRANSMITTER RELEASE CYCLE"	0.409146877748461	1	255	15	1
"MAPK TARGETS NUCLEAR EVENTS MEDIATED BY MAP KINASES"	0.409146877748461	1	255	30	2
"GTP HYDROLYSIS AND JOINING OF THE 60S RIBOSOMAL SUBUNIT"	0.40348650038997	0.210246301216158	255	106	7
"SPHINGOLIPID METABOLISM"	0.371646877748461	1	255	32	2
"REGULATION OF BETA CELL DEVELOPMENT"	0.366669001642266	0.268643656201110	255	113	7
