#category	term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:1903047	Mitotic cell cycle process	33	616	0.53	2.72e-05	9606.ENSP00000236273,9606.ENSP00000247191,9606.ENSP00000255120,9606.ENSP00000262662,9606.ENSP00000270708,9606.ENSP00000271452,9606.ENSP00000282074,9606.ENSP00000285735,9606.ENSP00000287598,9606.ENSP00000296509,9606.ENSP00000301633,9606.ENSP00000311083,9606.ENSP00000313950,9606.ENSP00000354451,9606.ENSP00000355922,9606.ENSP00000355966,9606.ENSP00000356319,9606.ENSP00000357206,9606.ENSP00000358925,9606.ENSP00000360944,9606.ENSP00000361298,9606.ENSP00000361540,9606.ENSP00000362146,9606.ENSP00000362937,9606.ENSP00000385510,9606.ENSP00000393139,9606.ENSP00000394394,9606.ENSP00000410452,9606.ENSP00000418447,9606.ENSP00000434614,9606.ENSP00000439170,9606.ENSP00000476755,9606.ENSP00000484824	SYF2,DLGAP5,NASP,CDKN2C,WRAP73,NUF2,SPC25,RHOC,BUB1B,MAD2L1,BIRC5,CKS1B,AURKB,IQGAP3,CENPF,NEK2,KIF14,NES,PSRC1,STIL,KIF2C,CDC20,CDCA8,RCC1,GPSM2,CDC7,ANAPC7,STMN1,PPP2CA,CDC27,TBCE,PPP1R12B,MUC1
GO Process	GO:0007059	Chromosome segregation	21	268	0.7	3.21e-05	9606.ENSP00000247191,9606.ENSP00000267430,9606.ENSP00000270708,9606.ENSP00000271452,9606.ENSP00000282074,9606.ENSP00000287598,9606.ENSP00000296509,9606.ENSP00000301633,9606.ENSP00000308583,9606.ENSP00000313950,9606.ENSP00000355922,9606.ENSP00000355966,9606.ENSP00000356319,9606.ENSP00000357256,9606.ENSP00000357259,9606.ENSP00000358925,9606.ENSP00000361298,9606.ENSP00000361540,9606.ENSP00000362146,9606.ENSP00000362937,9606.ENSP00000376168	DLGAP5,FANCM,WRAP73,NUF2,SPC25,BUB1B,MAD2L1,BIRC5,APITD1,AURKB,CENPF,NEK2,KIF14,PMF1,PMF1-BGLAP,PSRC1,KIF2C,CDC20,CDCA8,RCC1,STRA13
GO Process	GO:0000278	Mitotic cell cycle	34	695	0.49	4.49e-05	9606.ENSP00000236273,9606.ENSP00000247191,9606.ENSP00000255120,9606.ENSP00000262662,9606.ENSP00000270708,9606.ENSP00000271452,9606.ENSP00000282074,9606.ENSP00000285735,9606.ENSP00000287598,9606.ENSP00000296509,9606.ENSP00000301633,9606.ENSP00000311083,9606.ENSP00000313950,9606.ENSP00000354451,9606.ENSP00000355922,9606.ENSP00000355966,9606.ENSP00000356319,9606.ENSP00000356480,9606.ENSP00000357206,9606.ENSP00000358925,9606.ENSP00000360944,9606.ENSP00000361298,9606.ENSP00000361540,9606.ENSP00000362146,9606.ENSP00000362937,9606.ENSP00000385510,9606.ENSP00000393139,9606.ENSP00000394394,9606.ENSP00000410452,9606.ENSP00000418447,9606.ENSP00000434614,9606.ENSP00000439170,9606.ENSP00000476755,9606.ENSP00000484824	SYF2,DLGAP5,NASP,CDKN2C,WRAP73,NUF2,SPC25,RHOC,BUB1B,MAD2L1,BIRC5,CKS1B,AURKB,IQGAP3,CENPF,NEK2,KIF14,RNF2,NES,PSRC1,STIL,KIF2C,CDC20,CDCA8,RCC1,GPSM2,CDC7,ANAPC7,STMN1,PPP2CA,CDC27,TBCE,PPP1R12B,MUC1
GO Process	GO:0007052	Mitotic spindle organization	12	81	0.98	6.53e-05	9606.ENSP00000270708,9606.ENSP00000271452,9606.ENSP00000282074,9606.ENSP00000301633,9606.ENSP00000313950,9606.ENSP00000355966,9606.ENSP00000360944,9606.ENSP00000361540,9606.ENSP00000362937,9606.ENSP00000385510,9606.ENSP00000410452,9606.ENSP00000439170	WRAP73,NUF2,SPC25,BIRC5,AURKB,NEK2,STIL,CDC20,RCC1,GPSM2,STMN1,TBCE
GO Process	GO:0051301	Cell division	27	493	0.54	0.00011	9606.ENSP00000271452,9606.ENSP00000282074,9606.ENSP00000285735,9606.ENSP00000287598,9606.ENSP00000296509,9606.ENSP00000301633,9606.ENSP00000308583,9606.ENSP00000311083,9606.ENSP00000313950,9606.ENSP00000355922,9606.ENSP00000355966,9606.ENSP00000356319,9606.ENSP00000356379,9606.ENSP00000357256,9606.ENSP00000357259,9606.ENSP00000358925,9606.ENSP00000360133,9606.ENSP00000361298,9606.ENSP00000361540,9606.ENSP00000362146,9606.ENSP00000362937,9606.ENSP00000376168,9606.ENSP00000385510,9606.ENSP00000393139,9606.ENSP00000394394,9606.ENSP00000410452,9606.ENSP00000434614	NUF2,SPC25,RHOC,BUB1B,MAD2L1,BIRC5,APITD1,CKS1B,AURKB,CENPF,NEK2,KIF14,ASPM,PMF1,PMF1-BGLAP,PSRC1,ITGB3BP,KIF2C,CDC20,CDCA8,RCC1,STRA13,GPSM2,CDC7,ANAPC7,STMN1,CDC27
GO Process	GO:0022402	Cell cycle process	40	976	0.42	0.00012	9606.ENSP00000236273,9606.ENSP00000247191,9606.ENSP00000255120,9606.ENSP00000262662,9606.ENSP00000267430,9606.ENSP00000270708,9606.ENSP00000271452,9606.ENSP00000282074,9606.ENSP00000285735,9606.ENSP00000287598,9606.ENSP00000296509,9606.ENSP00000301633,9606.ENSP00000308583,9606.ENSP00000311083,9606.ENSP00000313950,9606.ENSP00000354451,9606.ENSP00000355922,9606.ENSP00000355966,9606.ENSP00000356319,9606.ENSP00000356379,9606.ENSP00000357206,9606.ENSP00000357812,9606.ENSP00000358925,9606.ENSP00000360944,9606.ENSP00000361043,9606.ENSP00000361298,9606.ENSP00000361540,9606.ENSP00000362146,9606.ENSP00000362937,9606.ENSP00000376168,9606.ENSP00000385510,9606.ENSP00000393139,9606.ENSP00000394394,9606.ENSP00000410452,9606.ENSP00000418447,9606.ENSP00000434614,9606.ENSP00000439170,9606.ENSP00000441065,9606.ENSP00000476755,9606.ENSP00000484824	SYF2,DLGAP5,NASP,CDKN2C,FANCM,WRAP73,NUF2,SPC25,RHOC,BUB1B,MAD2L1,BIRC5,APITD1,CKS1B,AURKB,IQGAP3,CENPF,NEK2,KIF14,ASPM,NES,TDRKH,PSRC1,STIL,RAD54L,KIF2C,CDC20,CDCA8,RCC1,STRA13,GPSM2,CDC7,ANAPC7,STMN1,PPP2CA,CDC27,TBCE,SLC16A1,PPP1R12B,MUC1
GO Process	GO:1902850	Microtubule cytoskeleton organization involved in mitosis	13	112	0.87	0.00013	9606.ENSP00000270708,9606.ENSP00000271452,9606.ENSP00000282074,9606.ENSP00000296509,9606.ENSP00000301633,9606.ENSP00000313950,9606.ENSP00000355966,9606.ENSP00000360944,9606.ENSP00000361540,9606.ENSP00000362937,9606.ENSP00000385510,9606.ENSP00000410452,9606.ENSP00000439170	WRAP73,NUF2,SPC25,MAD2L1,BIRC5,AURKB,NEK2,STIL,CDC20,RCC1,GPSM2,STMN1,TBCE
GO Process	GO:0002443	Leukocyte mediated immunity	30	641	0.47	0.00033	9606.ENSP00000221515,9606.ENSP00000236147,9606.ENSP00000255409,9606.ENSP00000271324,9606.ENSP00000271450,9606.ENSP00000284509,9606.ENSP00000294724,9606.ENSP00000294785,9606.ENSP00000313875,9606.ENSP00000313967,9606.ENSP00000342026,9606.ENSP00000348888,9606.ENSP00000351497,9606.ENSP00000355506,9606.ENSP00000355800,9606.ENSP00000356016,9606.ENSP00000357688,9606.ENSP00000357722,9606.ENSP00000357726,9606.ENSP00000357981,9606.ENSP00000360124,9606.ENSP00000363117,9606.ENSP00000363603,9606.ENSP00000364635,9606.ENSP00000366641,9606.ENSP00000381565,9606.ENSP00000415900,9606.ENSP00000433642,9606.ENSP00000438615,9606.ENSP00000451112	RETN,SELL,CHI3L1,CD53,FCGR2A,ATP8B4,AGL,NCSTN,CD46,C1QB,PRDX6,PIGR,FCGR2B,EXO1,TMEM63A,CR1,S100A13,S100A8,S100A12,CTSS,PGM1,FGR,FUCA1,PADI2,SLC2A5,DIAPH1,IL31RA,FCGR3B,C1R,NPC2
GO Process	GO:0006120	Mitochondrial electron transport, NADH to ubiquinone	9	49	1.07	0.00035	9606.ENSP00000233627,9606.ENSP00000252102,9606.ENSP00000263774,9606.ENSP00000266544,9606.ENSP00000274137,9606.ENSP00000322450,9606.ENSP00000327268,9606.ENSP00000356972,9606.ENSP00000362060	NDUFS7,NDUFA2,NDUFS3,NDUFA9,NDUFS6,NDUFV1,NDUFV2,NDUFS2,NDUFS5
GO Process	GO:0048285	Organelle fission	20	318	0.6	0.00044	9606.ENSP00000247191,9606.ENSP00000267430,9606.ENSP00000270708,9606.ENSP00000271452,9606.ENSP00000287598,9606.ENSP00000296509,9606.ENSP00000301633,9606.ENSP00000308583,9606.ENSP00000313950,9606.ENSP00000355966,9606.ENSP00000356319,9606.ENSP00000356379,9606.ENSP00000357051,9606.ENSP00000357812,9606.ENSP00000358925,9606.ENSP00000361043,9606.ENSP00000361298,9606.ENSP00000361540,9606.ENSP00000362146,9606.ENSP00000376168	DLGAP5,FANCM,WRAP73,NUF2,BUB1B,MAD2L1,BIRC5,APITD1,AURKB,NEK2,KIF14,ASPM,PEX19,TDRKH,PSRC1,RAD54L,KIF2C,CDC20,CDCA8,STRA13
