#category	term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:0000278	Mitotic cell cycle	62	695	0.78	3.25e-25	9606.ENSP00000236273,9606.ENSP00000238616,9606.ENSP00000240423,9606.ENSP00000247191,9606.ENSP00000256442,9606.ENSP00000258149,9606.ENSP00000260363,9606.ENSP00000260731,9606.ENSP00000261881,9606.ENSP00000262662,9606.ENSP00000263753,9606.ENSP00000268138,9606.ENSP00000269305,9606.ENSP00000271452,9606.ENSP00000275517,9606.ENSP00000285116,9606.ENSP00000287598,9606.ENSP00000288207,9606.ENSP00000296509,9606.ENSP00000300093,9606.ENSP00000311083,9606.ENSP00000312995,9606.ENSP00000313950,9606.ENSP00000319417,9606.ENSP00000324020,9606.ENSP00000331019,9606.ENSP00000335153,9606.ENSP00000335357,9606.ENSP00000342307,9606.ENSP00000355922,9606.ENSP00000355966,9606.ENSP00000356150,9606.ENSP00000356319,9606.ENSP00000357206,9606.ENSP00000360540,9606.ENSP00000360944,9606.ENSP00000361298,9606.ENSP00000361540,9606.ENSP00000362146,9606.ENSP00000363055,9606.ENSP00000368664,9606.ENSP00000372088,9606.ENSP00000376306,9606.ENSP00000377793,9606.ENSP00000378699,9606.ENSP00000380256,9606.ENSP00000385510,9606.ENSP00000387875,9606.ENSP00000393963,9606.ENSP00000399970,9606.ENSP00000402084,9606.ENSP00000408910,9606.ENSP00000410452,9606.ENSP00000411532,9606.ENSP00000415430,9606.ENSP00000418268,9606.ENSP00000434614,9606.ENSP00000443459,9606.ENSP00000446215,9606.ENSP00000448012,9606.ENSP00000453403,9606.ENSP00000481103	SYF2,NEK9,NCAPH,DLGAP5,CCNB1,MDM2,KIF23,KIF11,TIPIN,CDKN2C,SGOL1,TICRR,TP53,NUF2,CDCA5,SKA1,BUB1B,CCNB2,MAD2L1,PLK1,CKS1B,CLSPN,AURKB,SKA3,KIF15,RPS27L,HSP90AA1,CDKN3,FOXM1,CENPF,NEK2,MDM4,KIF14,NES,CEP55,STIL,KIF2C,CDC20,CDCA8,ZWINT,RGCC,RAD51,CIT,PRC1,CDK1,CCNF,GPSM2,KIF4B,KIFC1,PPP2R2D,WEE1,DCTN2,STMN1,TOP2A,GTSE1,MCM10,CDC27,BCAT1,RAN,CEP290,NUSAP1,E2F8
GO Process	GO:0007049	Cell cycle	83	1313	0.63	3.25e-25	9606.ENSP00000220514,9606.ENSP00000236273,9606.ENSP00000238616,9606.ENSP00000240423,9606.ENSP00000247191,9606.ENSP00000256442,9606.ENSP00000258149,9606.ENSP00000260363,9606.ENSP00000260731,9606.ENSP00000261881,9606.ENSP00000262662,9606.ENSP00000263753,9606.ENSP00000268138,9606.ENSP00000269305,9606.ENSP00000271452,9606.ENSP00000275517,9606.ENSP00000278572,9606.ENSP00000285116,9606.ENSP00000287598,9606.ENSP00000288207,9606.ENSP00000296509,9606.ENSP00000300035,9606.ENSP00000300093,9606.ENSP00000300213,9606.ENSP00000311083,9606.ENSP00000312995,9606.ENSP00000313950,9606.ENSP00000319417,9606.ENSP00000324020,9606.ENSP00000331019,9606.ENSP00000335153,9606.ENSP00000335357,9606.ENSP00000335463,9606.ENSP00000342307,9606.ENSP00000355506,9606.ENSP00000355922,9606.ENSP00000355966,9606.ENSP00000356150,9606.ENSP00000356319,9606.ENSP00000356379,9606.ENSP00000357206,9606.ENSP00000357643,9606.ENSP00000360540,9606.ENSP00000360944,9606.ENSP00000361043,9606.ENSP00000361298,9606.ENSP00000361540,9606.ENSP00000362146,9606.ENSP00000363055,9606.ENSP00000368664,9606.ENSP00000372088,9606.ENSP00000376306,9606.ENSP00000377793,9606.ENSP00000378699,9606.ENSP00000380024,9606.ENSP00000380256,9606.ENSP00000380349,9606.ENSP00000385510,9606.ENSP00000387875,9606.ENSP00000388648,9606.ENSP00000393963,9606.ENSP00000399970,9606.ENSP00000402084,9606.ENSP00000408295,9606.ENSP00000408910,9606.ENSP00000409016,9606.ENSP00000410452,9606.ENSP00000411532,9606.ENSP00000415430,9606.ENSP00000418268,9606.ENSP00000434024,9606.ENSP00000434614,9606.ENSP00000435421,9606.ENSP00000439403,9606.ENSP00000442068,9606.ENSP00000443459,9606.ENSP00000446215,9606.ENSP00000448012,9606.ENSP00000448665,9606.ENSP00000453403,9606.ENSP00000479669,9606.ENSP00000481103,9606.ENSP00000481110	OIP5,SYF2,NEK9,NCAPH,DLGAP5,CCNB1,MDM2,KIF23,KIF11,TIPIN,CDKN2C,SGOL1,TICRR,TP53,NUF2,CDCA5,RPS3,SKA1,BUB1B,CCNB2,MAD2L1,KIAA0101,PLK1,CCNDBP1,CKS1B,CLSPN,AURKB,SKA3,KIF15,RPS27L,HSP90AA1,CDKN3,CASC5,FOXM1,EXO1,CENPF,NEK2,MDM4,KIF14,ASPM,NES,MKI67,CEP55,STIL,RAD54L,KIF2C,CDC20,CDCA8,ZWINT,RGCC,RAD51,CIT,PRC1,CDK1,ING4,CCNF,CAPN3,GPSM2,KIF4B,CHEK1,KIFC1,PPP2R2D,WEE1,RFC5,DCTN2,TBRG1,STMN1,TOP2A,GTSE1,MCM10,H2AFX,CDC27,DDIAS,ANAPC15,CDCA3,BCAT1,RAN,CEP290,DDIT3,NUSAP1,CAB39L,E2F8,FAM83D
GO Process	GO:0022402	Cell cycle process	72	976	0.7	3.25e-25	9606.ENSP00000236273,9606.ENSP00000238616,9606.ENSP00000240423,9606.ENSP00000247191,9606.ENSP00000256442,9606.ENSP00000258149,9606.ENSP00000260363,9606.ENSP00000260731,9606.ENSP00000261881,9606.ENSP00000262662,9606.ENSP00000263753,9606.ENSP00000268138,9606.ENSP00000269305,9606.ENSP00000271452,9606.ENSP00000275517,9606.ENSP00000278572,9606.ENSP00000287598,9606.ENSP00000288207,9606.ENSP00000296509,9606.ENSP00000300035,9606.ENSP00000300093,9606.ENSP00000311083,9606.ENSP00000312995,9606.ENSP00000313950,9606.ENSP00000331019,9606.ENSP00000335153,9606.ENSP00000335357,9606.ENSP00000335463,9606.ENSP00000342307,9606.ENSP00000355922,9606.ENSP00000355966,9606.ENSP00000356150,9606.ENSP00000356319,9606.ENSP00000356379,9606.ENSP00000357206,9606.ENSP00000360540,9606.ENSP00000360944,9606.ENSP00000361043,9606.ENSP00000361298,9606.ENSP00000361540,9606.ENSP00000362146,9606.ENSP00000363055,9606.ENSP00000368664,9606.ENSP00000372088,9606.ENSP00000376306,9606.ENSP00000377793,9606.ENSP00000378699,9606.ENSP00000380024,9606.ENSP00000380256,9606.ENSP00000380349,9606.ENSP00000385510,9606.ENSP00000387875,9606.ENSP00000393963,9606.ENSP00000399970,9606.ENSP00000402084,9606.ENSP00000408295,9606.ENSP00000408910,9606.ENSP00000409016,9606.ENSP00000410452,9606.ENSP00000411532,9606.ENSP00000415430,9606.ENSP00000418268,9606.ENSP00000434614,9606.ENSP00000435421,9606.ENSP00000443459,9606.ENSP00000446215,9606.ENSP00000448012,9606.ENSP00000448665,9606.ENSP00000453403,9606.ENSP00000479669,9606.ENSP00000481103,9606.ENSP00000481110	SYF2,NEK9,NCAPH,DLGAP5,CCNB1,MDM2,KIF23,KIF11,TIPIN,CDKN2C,SGOL1,TICRR,TP53,NUF2,CDCA5,RPS3,BUB1B,CCNB2,MAD2L1,KIAA0101,PLK1,CKS1B,CLSPN,AURKB,RPS27L,HSP90AA1,CDKN3,CASC5,FOXM1,CENPF,NEK2,MDM4,KIF14,ASPM,NES,CEP55,STIL,RAD54L,KIF2C,CDC20,CDCA8,ZWINT,RGCC,RAD51,CIT,PRC1,CDK1,ING4,CCNF,CAPN3,GPSM2,KIF4B,KIFC1,PPP2R2D,WEE1,RFC5,DCTN2,TBRG1,STMN1,TOP2A,GTSE1,MCM10,CDC27,DDIAS,BCAT1,RAN,CEP290,DDIT3,NUSAP1,CAB39L,E2F8,FAM83D
GO Process	GO:1903047	Mitotic cell cycle process	59	616	0.81	3.25e-25	9606.ENSP00000236273,9606.ENSP00000238616,9606.ENSP00000240423,9606.ENSP00000247191,9606.ENSP00000256442,9606.ENSP00000258149,9606.ENSP00000260363,9606.ENSP00000260731,9606.ENSP00000261881,9606.ENSP00000262662,9606.ENSP00000263753,9606.ENSP00000268138,9606.ENSP00000269305,9606.ENSP00000271452,9606.ENSP00000275517,9606.ENSP00000287598,9606.ENSP00000288207,9606.ENSP00000296509,9606.ENSP00000300093,9606.ENSP00000311083,9606.ENSP00000312995,9606.ENSP00000313950,9606.ENSP00000331019,9606.ENSP00000335153,9606.ENSP00000335357,9606.ENSP00000342307,9606.ENSP00000355922,9606.ENSP00000355966,9606.ENSP00000356150,9606.ENSP00000356319,9606.ENSP00000357206,9606.ENSP00000360540,9606.ENSP00000360944,9606.ENSP00000361298,9606.ENSP00000361540,9606.ENSP00000362146,9606.ENSP00000363055,9606.ENSP00000368664,9606.ENSP00000372088,9606.ENSP00000376306,9606.ENSP00000377793,9606.ENSP00000378699,9606.ENSP00000380256,9606.ENSP00000385510,9606.ENSP00000387875,9606.ENSP00000393963,9606.ENSP00000399970,9606.ENSP00000402084,9606.ENSP00000408910,9606.ENSP00000410452,9606.ENSP00000411532,9606.ENSP00000415430,9606.ENSP00000418268,9606.ENSP00000434614,9606.ENSP00000443459,9606.ENSP00000446215,9606.ENSP00000448012,9606.ENSP00000453403,9606.ENSP00000481103	SYF2,NEK9,NCAPH,DLGAP5,CCNB1,MDM2,KIF23,KIF11,TIPIN,CDKN2C,SGOL1,TICRR,TP53,NUF2,CDCA5,BUB1B,CCNB2,MAD2L1,PLK1,CKS1B,CLSPN,AURKB,RPS27L,HSP90AA1,CDKN3,FOXM1,CENPF,NEK2,MDM4,KIF14,NES,CEP55,STIL,KIF2C,CDC20,CDCA8,ZWINT,RGCC,RAD51,CIT,PRC1,CDK1,CCNF,GPSM2,KIF4B,KIFC1,PPP2R2D,WEE1,DCTN2,STMN1,TOP2A,GTSE1,MCM10,CDC27,BCAT1,RAN,CEP290,NUSAP1,E2F8
GO Process	GO:0051301	Cell division	46	493	0.8	7.14e-19	9606.ENSP00000220514,9606.ENSP00000238616,9606.ENSP00000240423,9606.ENSP00000256442,9606.ENSP00000260363,9606.ENSP00000260731,9606.ENSP00000261881,9606.ENSP00000263753,9606.ENSP00000271452,9606.ENSP00000275517,9606.ENSP00000278572,9606.ENSP00000285116,9606.ENSP00000287598,9606.ENSP00000288207,9606.ENSP00000296509,9606.ENSP00000300093,9606.ENSP00000311083,9606.ENSP00000313950,9606.ENSP00000319417,9606.ENSP00000335463,9606.ENSP00000355922,9606.ENSP00000355966,9606.ENSP00000356319,9606.ENSP00000356379,9606.ENSP00000360540,9606.ENSP00000361298,9606.ENSP00000361540,9606.ENSP00000362146,9606.ENSP00000363055,9606.ENSP00000376306,9606.ENSP00000377793,9606.ENSP00000378699,9606.ENSP00000380256,9606.ENSP00000385510,9606.ENSP00000387875,9606.ENSP00000393963,9606.ENSP00000399970,9606.ENSP00000402084,9606.ENSP00000410452,9606.ENSP00000411532,9606.ENSP00000434614,9606.ENSP00000439403,9606.ENSP00000442068,9606.ENSP00000446215,9606.ENSP00000453403,9606.ENSP00000481110	OIP5,NEK9,NCAPH,CCNB1,KIF23,KIF11,TIPIN,SGOL1,NUF2,CDCA5,RPS3,SKA1,BUB1B,CCNB2,MAD2L1,PLK1,CKS1B,AURKB,SKA3,CASC5,CENPF,NEK2,KIF14,ASPM,CEP55,KIF2C,CDC20,CDCA8,ZWINT,CIT,PRC1,CDK1,CCNF,GPSM2,KIF4B,KIFC1,PPP2R2D,WEE1,STMN1,TOP2A,CDC27,ANAPC15,CDCA3,RAN,NUSAP1,FAM83D
GO Process	GO:0140014	Mitotic nuclear division	27	156	1.07	3.76e-16	9606.ENSP00000238616,9606.ENSP00000240423,9606.ENSP00000247191,9606.ENSP00000256442,9606.ENSP00000260363,9606.ENSP00000260731,9606.ENSP00000263753,9606.ENSP00000271452,9606.ENSP00000275517,9606.ENSP00000288207,9606.ENSP00000296509,9606.ENSP00000300093,9606.ENSP00000313950,9606.ENSP00000355966,9606.ENSP00000356319,9606.ENSP00000361298,9606.ENSP00000361540,9606.ENSP00000362146,9606.ENSP00000363055,9606.ENSP00000377793,9606.ENSP00000378699,9606.ENSP00000387875,9606.ENSP00000393963,9606.ENSP00000399970,9606.ENSP00000408910,9606.ENSP00000446215,9606.ENSP00000453403	NEK9,NCAPH,DLGAP5,CCNB1,KIF23,KIF11,SGOL1,NUF2,CDCA5,CCNB2,MAD2L1,PLK1,AURKB,NEK2,KIF14,KIF2C,CDC20,CDCA8,ZWINT,PRC1,CDK1,KIF4B,KIFC1,PPP2R2D,DCTN2,RAN,NUSAP1
GO Process	GO:0000819	Sister chromatid segregation	24	133	1.08	1.52e-14	9606.ENSP00000240423,9606.ENSP00000247191,9606.ENSP00000256442,9606.ENSP00000260363,9606.ENSP00000263753,9606.ENSP00000271452,9606.ENSP00000275517,9606.ENSP00000287598,9606.ENSP00000296509,9606.ENSP00000300093,9606.ENSP00000313950,9606.ENSP00000355966,9606.ENSP00000356319,9606.ENSP00000361298,9606.ENSP00000361540,9606.ENSP00000362146,9606.ENSP00000363055,9606.ENSP00000377793,9606.ENSP00000387875,9606.ENSP00000393963,9606.ENSP00000408910,9606.ENSP00000411532,9606.ENSP00000446215,9606.ENSP00000453403	NCAPH,DLGAP5,CCNB1,KIF23,SGOL1,NUF2,CDCA5,BUB1B,MAD2L1,PLK1,AURKB,NEK2,KIF14,KIF2C,CDC20,CDCA8,ZWINT,PRC1,KIF4B,KIFC1,DCTN2,TOP2A,RAN,NUSAP1
GO Process	GO:0000280	Nuclear division	32	291	0.87	1.90e-14	9606.ENSP00000238616,9606.ENSP00000240423,9606.ENSP00000247191,9606.ENSP00000256442,9606.ENSP00000260363,9606.ENSP00000260731,9606.ENSP00000263753,9606.ENSP00000271452,9606.ENSP00000275517,9606.ENSP00000287598,9606.ENSP00000288207,9606.ENSP00000296509,9606.ENSP00000300093,9606.ENSP00000313950,9606.ENSP00000355966,9606.ENSP00000356319,9606.ENSP00000356379,9606.ENSP00000361043,9606.ENSP00000361298,9606.ENSP00000361540,9606.ENSP00000362146,9606.ENSP00000363055,9606.ENSP00000372088,9606.ENSP00000377793,9606.ENSP00000378699,9606.ENSP00000387875,9606.ENSP00000393963,9606.ENSP00000399970,9606.ENSP00000408910,9606.ENSP00000411532,9606.ENSP00000446215,9606.ENSP00000453403	NEK9,NCAPH,DLGAP5,CCNB1,KIF23,KIF11,SGOL1,NUF2,CDCA5,BUB1B,CCNB2,MAD2L1,PLK1,AURKB,NEK2,KIF14,ASPM,RAD54L,KIF2C,CDC20,CDCA8,ZWINT,RAD51,PRC1,CDK1,KIF4B,KIFC1,PPP2R2D,DCTN2,TOP2A,RAN,NUSAP1
GO Process	GO:0007059	Chromosome segregation	31	268	0.89	1.90e-14	9606.ENSP00000220514,9606.ENSP00000240423,9606.ENSP00000247191,9606.ENSP00000256442,9606.ENSP00000260363,9606.ENSP00000263753,9606.ENSP00000271452,9606.ENSP00000275517,9606.ENSP00000278572,9606.ENSP00000285116,9606.ENSP00000287598,9606.ENSP00000296509,9606.ENSP00000300093,9606.ENSP00000313950,9606.ENSP00000319417,9606.ENSP00000335463,9606.ENSP00000355922,9606.ENSP00000355966,9606.ENSP00000356319,9606.ENSP00000361298,9606.ENSP00000361540,9606.ENSP00000362146,9606.ENSP00000363055,9606.ENSP00000377793,9606.ENSP00000387875,9606.ENSP00000393963,9606.ENSP00000408910,9606.ENSP00000411532,9606.ENSP00000446215,9606.ENSP00000453403,9606.ENSP00000481110	OIP5,NCAPH,DLGAP5,CCNB1,KIF23,SGOL1,NUF2,CDCA5,RPS3,SKA1,BUB1B,MAD2L1,PLK1,AURKB,SKA3,CASC5,CENPF,NEK2,KIF14,KIF2C,CDC20,CDCA8,ZWINT,PRC1,KIF4B,KIFC1,DCTN2,TOP2A,RAN,NUSAP1,FAM83D
GO Process	GO:0000070	Mitotic sister chromatid segregation	22	108	1.14	2.73e-14	9606.ENSP00000240423,9606.ENSP00000247191,9606.ENSP00000256442,9606.ENSP00000260363,9606.ENSP00000263753,9606.ENSP00000271452,9606.ENSP00000275517,9606.ENSP00000296509,9606.ENSP00000300093,9606.ENSP00000313950,9606.ENSP00000355966,9606.ENSP00000356319,9606.ENSP00000361298,9606.ENSP00000361540,9606.ENSP00000362146,9606.ENSP00000363055,9606.ENSP00000377793,9606.ENSP00000387875,9606.ENSP00000393963,9606.ENSP00000408910,9606.ENSP00000446215,9606.ENSP00000453403	NCAPH,DLGAP5,CCNB1,KIF23,SGOL1,NUF2,CDCA5,MAD2L1,PLK1,AURKB,NEK2,KIF14,KIF2C,CDC20,CDCA8,ZWINT,PRC1,KIF4B,KIFC1,DCTN2,RAN,NUSAP1
